Year,Month,Month_Name,District,Monthly_Share,Diesel_Liters_Monthly,Kerosene_Liters_Monthly,Petrol_Liters_Monthly
2022,9,September,Kegalle,0.10677917545641585,,,
2022,10,October,Kegalle,0.10547699038987417,,,
2022,11,November,Kegalle,0.10157043519024922,,,
2022,12,December,Kegalle,0.0989660650571659,,,
2022,1,January,Ratnapura,0.0026564575357449797,188247.7381045394,5698.101414172981,
2022,2,February,Ratnapura,0.002396020522436648,169792.07750605512,5139.46402062661,
2022,3,March,Ratnapura,0.009792431700393258,693932.8385030079,21004.76599734354,
2022,4,April,Ratnapura,0.08055316821626689,5708335.82311118,172786.54582389246,
2022,5,May,Ratnapura,0.1173529181967341,8316120.6656770045,251722.00953199464,
2022,6,June,Ratnapura,0.13995885095189725,9918072.005625438,300211.7352918196,
2022,7,July,Ratnapura,0.12511394119332236,8866099.351511834,268369.40385967644,
2022,8,August,Ratnapura,0.10938354558949917,7751377.4513633875,234627.7052894757,
2022,9,September,Ratnapura,0.10677917545641585,7566820.845378544,229041.331354012,
2022,10,October,Ratnapura,0.10547699038987417,7474542.542386121,226248.1443862801,
2022,11,November,Ratnapura,0.10157043519024922,7197707.633408858,217868.58348308457,
2022,12,December,Ratnapura,0.0989660650571659,7013151.027424016,212282.20954762085,
2022,1,January,Kurunegala,0.0026564575357449797,346733.8542073599,14456.202828345962,
2022,2,February,Kurunegala,0.002396020522436648,312740.3390889913,13038.92804125322,
2022,3,March,Kurunegala,0.009792431700393258,1278156.16845066,53289.53199468707,
2022,4,April,Kurunegala,0.08055316821626689,10514194.226111414,438363.0916477849,
2022,5,May,Kurunegala,0.1173529181967341,15317477.912336899,638624.0190639893,
2022,6,June,Kurunegala,0.13995885095189725,18268115.024611294,761643.4705836392,
2022,7,July,Kurunegala,0.12511394119332236,16330484.662864283,680858.8077193529,
2022,8,August,Kurunegala,0.10938354558949917,14277276.34971482,595255.4105789515,
2022,9,September,Kurunegala,0.10677917545641585,13937341.198531134,581082.662708024,
2022,10,October,Kurunegala,0.10547699038987417,13767373.622939287,573996.2887725601,
2022,11,November,Kurunegala,0.10157043519024922,13257470.89616376,552737.1669661691,
2022,12,December,Kurunegala,0.0989660650571659,12917535.744980074,538564.4190952417,
2022,1,January,Puttalam,0.0026564575357449797,183207.10993046328,41131.52590046097,
2022,2,February,Puttalam,0.002396020522436648,165245.6285647316,37099.02336120009,
2022,3,March,Puttalam,0.009792431700393258,675351.6993515117,151622.09547620904,
2022,4,April,Puttalam,0.08055316821626689,5555486.186420813,1247253.0353933899,
2022,5,May,Puttalam,0.1173529181967341,8093443.503398702,1817045.6441909522,
2022,6,June,Puttalam,0.13995885095189725,9652500.085944213,2167066.8645987962,
2022,7,July,Puttalam,0.12511394119332236,8628695.648097506,1937214.2198609263,
2022,8,August,Puttalam,0.10938354558949917,7543822.173607312,1693651.0664895694,
2022,9,September,Puttalam,0.10677917545641585,7364207.359949995,1653326.0410969604,
2022,10,October,Puttalam,0.10547699038987417,7274399.953121334,1633163.5284006556,
2022,11,November,Puttalam,0.10157043519024922,7004977.732635361,1572675.9903117428,
2022,12,December,Puttalam,0.0989660650571659,6825362.918978044,1532350.964919134,
2022,1,January,Anuradhapura,0.0026564575357449797,231925.87702164229,9721.837643565903,
2022,2,February,Anuradhapura,0.002396020522436648,209188.0459410891,8768.716305961401,
2022,3,March,Anuradhapura,0.009792431700393258,854942.448628799,35837.3622939292,
2022,4,April,Anuradhapura,0.08055316821626689,7032811.1532150945,294800.4297210719,
2022,5,May,Anuradhapura,0.1173529181967341,10245666.684897255,429476.4747245878,
2022,6,June,Anuradhapura,0.13995885095189725,12219310.42268927,512207.40682865836,
2022,7,July,Anuradhapura,0.12511394119332236,10923254.05109774,457879.4905852019,
2022,8,August,Anuradhapura,0.10938354558949917,9549889.05383233,400310.9617938901,
2022,9,September,Anuradhapura,0.10677917545641585,9322510.743026799,390779.7484178451,
2022,10,October,Anuradhapura,0.10547699038987417,9208821.58762403,386014.1417298225,
2022,11,November,Anuradhapura,0.10157043519024922,8867754.121415734,371717.32166575507,
2022,12,December,Anuradhapura,0.0989660650571659,8640375.810610201,362186.1082897101,
2022,1,January,Polonnaruwa,0.0026564575357449797,109990.88991327446,4839.003047113055,
2022,2,February,Polonnaruwa,0.002396020522436648,99207.46933354167,4364.590983670599,
2022,3,March,Polonnaruwa,0.009792431700393258,405456.6137979529,17837.89358543636,
2022,4,April,Polonnaruwa,0.08055316821626689,3335311.985311352,146735.65122275177,
2022,5,May,Polonnaruwa,0.1173529181967341,4859009.313227595,213770.07578717085,
2022,6,June,Polonnaruwa,0.13995885095189725,5795010.2195484005,254949.04289397603,
2022,7,July,Polonnaruwa,0.12511394119332236,5180355.246503632,227907.555277756,
2022,8,August,Polonnaruwa,0.10938354558949917,4529036.643487772,199253.06664583168,
2022,9,September,Polonnaruwa,0.10677917545641585,4421202.437690444,194508.94601140713,
2022,10,October,Polonnaruwa,0.10547699038987417,4367285.334791779,192136.8856941948,
2022,11,November,Polonnaruwa,0.10157043519024922,4205534.026095788,185020.70474255798,
2022,12,December,Polonnaruwa,0.0989660650571659,4097699.82029846,180276.58410813342,
2022,1,January,Badulla,0.0026564575357449797,229194.8792874443,5058.160793812016,
2022,2,February,Badulla,0.002396020522436648,206724.7930827929,4562.262676771622,
2022,3,March,Badulla,0.009792431700393258,844875.2412948926,18645.7692007188,
2022,4,April,Badulla,0.08055316821626689,6949997.663098679,153381.2876005938,
2022,5,May,Badulla,0.1173529181967341,10125020.84381592,223451.6915384014,
2022,6,June,Badulla,0.13995885095189725,12075424.326379662,266495.64809750754,
2022,7,July,Badulla,0.12511394119332236,10794629.412714532,238229.45542620512,
2022,8,August,Badulla,0.10938354558949917,9437436.205953589,208277.20915696537,
2022,9,September,Badulla,0.10677917545641585,9212735.343907075,203318.22798656143,
2022,10,October,Badulla,0.10547699038987417,9100384.912883816,200838.7374013594,
2022,11,November,Badulla,0.10157043519024922,8763333.619814046,193400.26564575353,
2022,12,December,Badulla,0.0989660650571659,8538632.757767532,188441.2844753496,
2022,1,January,Monaragala,0.0026564575357449797,,,
2022,2,February,Monaragala,0.002396020522436648,,,
2022,3,March,Monaragala,0.009792431700393258,,,
2022,4,April,Monaragala,0.08055316821626689,,,
2022,5,May,Monaragala,0.1173529181967341,,,
2022,6,June,Monaragala,0.13995885095189725,,,
2022,7,July,Monaragala,0.12511394119332236,,,
2022,8,August,Monaragala,0.10938354558949917,,,
2022,9,September,Monaragala,0.10677917545641585,,,
2022,10,October,Monaragala,0.10547699038987417,,,
2022,11,November,Monaragala,0.10157043519024922,,,
2022,12,December,Monaragala,0.0989660650571659,,,
2022,1,January,Vavuniya,0.0026564575357449797,59926.22861161028,5075.693413547932,
2022,2,February,Vavuniya,0.002396020522436648,54051.10815949162,4578.076412219703,
2022,3,March,Vavuniya,0.009792431700393258,220904.5289996614,18710.399249941398,
2022,4,April,Vavuniya,0.08055316821626689,1817174.7558403,153912.93851082114,
2022,5,May,Vavuniya,0.1173529181967341,2647329.2757246657,224226.22079849985,
2022,6,June,Vavuniya,0.13995885095189725,3157289.7309685647,267419.3765137901,
2022,7,July,Vavuniya,0.12511394119332236,2822407.865197801,239055.20743808104,
2022,8,August,Vavuniya,0.10938354558949917,2467550.589889835,208999.14055785607,
2022,9,September,Vavuniya,0.10677917545641585,2408799.3853686485,204022.97054457376,
2022,10,October,Vavuniya,0.10547699038987417,2379423.783108054,201534.88553793257,
2022,11,November,Vavuniya,0.10157043519024922,2291296.976326275,194070.6305180092,
2022,12,December,Vavuniya,0.0989660650571659,2232545.7718050885,189094.46050472689,
2022,1,January,Mannar,0.0026564575357449797,27394.718337370105,15130.650832096255,
2022,2,February,Mannar,0.002396020522436648,24708.961637627934,13647.253691694661,
2022,3,March,Mannar,0.009792431700393258,100984.45191030548,55775.73247909992,
2022,4,April,Mannar,0.08055316821626689,830704.5472302523,458814.73552621296,
2022,5,May,Mannar,0.1173529181967341,1210201.9689038205,668418.7514649581,
2022,6,June,Mannar,0.13995885095189725,1443325.6504414403,797177.6232518164,
2022,7,July,Mannar,0.12511394119332236,1290237.5185561369,712623.9862489256,
2022,8,August,Mannar,0.10938354558949917,1128017.8138917102,623026.7989686694,
2022,9,September,Mannar,0.10677917545641585,1101160.2468942886,608192.8275646535,
2022,10,October,Mannar,0.10547699038987417,1087731.4633955774,600775.8418626452,
2022,11,November,Mannar,0.10157043519024922,1047445.1128994451,578524.8847566216,
2022,12,December,Mannar,0.0989660650571659,1020587.5459020233,563690.9133526055,
2022,1,January,Kilinochchi,0.0026564575357449797,,,
2022,2,February,Kilinochchi,0.002396020522436648,,,
2022,3,March,Kilinochchi,0.009792431700393258,,,
2022,4,April,Kilinochchi,0.08055316821626689,,,
2022,5,May,Kilinochchi,0.1173529181967341,,,
2022,6,June,Kilinochchi,0.13995885095189725,,,
2022,7,July,Kilinochchi,0.12511394119332236,,,
2022,8,August,Kilinochchi,0.10938354558949917,,,
2022,9,September,Kilinochchi,0.10677917545641585,,,
2022,10,October,Kilinochchi,0.10547699038987417,,,
2022,11,November,Kilinochchi,0.10157043519024922,,,
2022,12,December,Kilinochchi,0.0989660650571659,,,
