"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"LKA",14,2008,217.46903866655517770,82548.614239910841193
"LKA",15,2008,224.47065040257913866,59710.770011033424634
"LKA",16,2008,172.42413910642631851,84278.704363430562586
"LKA",17,2008,104.42623250045112920,62701.715542543493076
"LKA",18,2008,1164.66591952221841414,448401.190968682653771
"LKA",19,2008,205.29034504326280611,54111.02964918403059
"LKA",20,2008,429.13895026420492231,240222.010939733225688
"LKA",21,2008,70.72906265685088707,24149.75647844263655
"LKA",22,2008,390.05507848127709908,115431.042343193595704
"LKA",23,2008,439.55086838961983531,249594.667173862587889
"LKA",24,2008,234.45225605675627828,66844.805998743960776
"LKA",25,2008,126.24725203565431922,30725.040874648638412
"LKA",1,2009,509.21970467898109324,186794.957004756907475
"LKA",2,2009,4935.10481381745898094,1318415.752451831612081
"LKA",3,2009,462.75152234248775937,254635.660292828596721
"LKA",4,2009,141.82348493129615137,43300.756576123827930
"LKA",5,2009,114.28181232416718692,63576.778850605742858
"LKA",6,2009,309.79682561916211252,200720.865522529681609
"LKA",7,2009,178.29092283626110169,96641.684070918205801
"LKA",8,2009,421.15121693825263538,161415.698112732402045
"LKA",9,2009,24.74292153109646370,6113.249598479972094
"LKA",10,2009,295.50084385530049350,165809.428178165100532
"LKA",11,2009,172.75388386678498736,102689.521248786673444
"LKA",12,2009,379.11309122082961402,224594.454977227694064
"LKA",13,2009,51.71445044462130420,14287.518914312473755
"LKA",14,2009,861.39145932554635704,291857.054235563279533
"LKA",15,2009,122.35021091834905748,34337.067583729809053
"LKA",16,2009,478.05123452528208454,217439.057344181646063
"LKA",17,2009,202.96845485767311521,120671.409344052492590
"LKA",18,2009,674.32759323013477457,273709.592128665624735
"LKA",19,2009,406.00099986514473706,109032.56653925724250
"LKA",20,2009,356.63441095506769221,209042.365364833575269
"LKA",21,2009,376.08374831490633191,125503.423014832729748
"LKA",22,2009,370.46512143521184839,108817.098598381345579
"LKA",23,2009,414.42185744889097324,234748.616341725219413
"LKA",24,2009,634.04746570778559933,173603.241425104812158
"LKA",25,2009,1081.01981035671190085,285225.169768576880758
"LKA",1,2010,453.17252060646586109,164116.697946461881284
"LKA",2,2010,885.35274231774107373,238720.664828829219554
"LKA",3,2010,168.39372488061083620,95201.415108270717716
"LKA",4,2010,147.58560147206366550,42073.886470948933610
"LKA",5,2010,68.59785280950575766,38702.542893388250686
"LKA",6,2010,193.60080565318625543,126166.25258168460616
"LKA",7,2010,92.99838535136611994,48255.461281878131900
"LKA",8,2010,419.46365469119984447,155433.843450108429261
"LKA",9,2010,2.20004389828938794,604.316414733024125
"LKA",10,2010,168.16957692343916807,98664.337275473980626
"LKA",11,2010,86.87745586610268877,53965.02602979406129
"LKA",12,2010,234.73506861554587317,141490.103597612683529
"LKA",13,2010,52.32053313867513476,16234.315563604422423
"LKA",14,2010,213.43366243899929744,80521.456034442657292
"LKA",15,2010,403.93539097566820019,114048.131609730671245
"LKA",16,2010,194.86628033579278008,84104.444183851033276
"LKA",17,2010,108.17447169078857807,67051.622442964737966
"LKA",18,2010,745.70850826127671605,294682.117931931846535
"LKA",19,2010,317.25761734758733896,84550.811230637496292
"LKA",20,2010,143.45715292161678453,82480.10497413012652
"LKA",21,2010,139.81239277926756628,48841.189595096293450
"LKA",22,2010,777.49551080955746474,231594.584374646006821
